canal_preferido,categoria_favorita,regiao,marca_preferida,influenciador,frequencia_compra,pagamento,genero,ticket_medio,qtd_itens,data_nascimento
whatsapp,mercearia,nordeste,marca_52,influencer_062,quinzenal,credito,feminino,111.86631323033173,3,12/09/1969
parceiros,limpeza,sudeste,marca_14,influencer_042,semanal,boleto,nao_informado,128.15610541024677,6,13/01/1996
app,snacks,nordeste,marca_29,influencer_008,quinzenal,carteira_digital,outro,90.98772678294995,6,22/08/1993
whatsapp,mercearia,sudeste,marca_01,influencer_118,bimestral,debito,outro,136.0002694692434,3,22/06/1976
loja_fisica,bebidas,sudeste,marca_00,influencer_020,mensal,carteira_digital,nao_informado,144.61713660755066,2,16/02/2007
app,mercearia,nordeste,marca_42,influencer_030,semanal,boleto,masculino,141.71392203346159,9,26/04/1981
whatsapp,limpeza,norte,marca_06,influencer_028,quinzenal,carteira_digital,masculino,113.95666890646618,7,17/01/1955
whatsapp,bebidas,centro_oeste,marca_32,influencer_108,trimestral,debito,outro,163.63645202610243,4,25/02/2006
loja_fisica,bebidas,norte,marca_41,influencer_091,mensal,credito,nao_informado,109.69530245926083,2,13/10/1956
parceiros,mercearia,centro_oeste,marca_01,influencer_054,mensal,credito,nao_informado,106.04716848890885,2,07/11/2003
ecommerce,snacks,norte,marca_26,influencer_114,semanal,boleto,nao_informado,177.66156028401838,7,04/10/1958
app,laticinios,norte,marca_40,influencer_006,quinzenal,carteira_digital,outro,75.72134801197691,4,16/02/1975
whatsapp,mercearia,sudeste,marca_53,influencer_107,trimestral,pix,outro,51.88124316858078,5,25/08/1957
app,mercearia,norte,marca_17,influencer_007,bimestral,credito,masculino,85.28734735047627,7,12/08/1992
parceiros,snacks,sudeste,marca_58,influencer_046,mensal,credito,outro,135.4896770671216,6,21/05/1971
loja_fisica,mercearia,sudeste,marca_50,influencer_006,trimestral,pix,feminino,171.3436405786075,4,15/07/1982
parceiros,laticinios,sudeste,marca_38,influencer_119,quinzenal,carteira_digital,feminino,93.57925967273539,5,23/04/1965
loja_fisica,bebidas,centro_oeste,marca_23,influencer_109,trimestral,debito,outro,192.59350081161682,3,22/12/1998
app,snacks,norte,marca_42,influencer_070,semanal,boleto,feminino,121.08789417105253,3,20/03/1979
whatsapp,snacks,centro_oeste,marca_48,influencer_025,quinzenal,pix,masculino,115.37881811207241,8,10/04/1971
whatsapp,higiene,centro_oeste,marca_18,influencer_033,trimestral,carteira_digital,nao_informado,86.00247436721767,6,12/10/1956
ecommerce,mercearia,centro_oeste,marca_59,influencer_053,trimestral,carteira_digital,outro,198.05420674542535,3,14/03/1979
app,higiene,sudeste,marca_54,influencer_038,bimestral,credito,masculino,113.98844487924052,2,24/11/1993
app,limpeza,centro_oeste,marca_29,influencer_002,bimestral,boleto,nao_informado,66.72047895233153,4,18/08/1960
whatsapp,snacks,centro_oeste,marca_43,influencer_078,trimestral,carteira_digital,feminino,218.30674675321842,3,05/11/1981
loja_fisica,bebidas,centro_oeste,marca_31,influencer_073,bimestral,carteira_digital,feminino,135.7468037540939,1,08/07/2004
parceiros,snacks,sudeste,marca_45,influencer_108,quinzenal,pix,nao_informado,151.95321802417124,1,09/12/2000
loja_fisica,laticinios,sudeste,marca_49,influencer_057,mensal,credito,nao_informado,187.2624088336289,2,17/10/2002
loja_fisica,limpeza,centro_oeste,marca_01,influencer_041,bimestral,pix,outro,144.57850329817765,7,22/10/2002
whatsapp,higiene,sudeste,marca_04,influencer_061,mensal,boleto,nao_informado,158.9955742817782,4,05/03/1969
whatsapp,mercearia,sul,marca_20,influencer_023,trimestral,debito,outro,122.1730028931222,5,21/10/1963
app,bebidas,nordeste,marca_55,influencer_074,mensal,carteira_digital,outro,149.3492914974089,5,18/04/1985
ecommerce,snacks,sudeste,marca_23,influencer_092,semanal,credito,masculino,118.63368741773493,4,06/10/1992
ecommerce,snacks,sudeste,marca_53,influencer_018,semanal,carteira_digital,outro,119.19159656635745,7,05/01/1975
parceiros,laticinios,centro_oeste,marca_27,influencer_038,trimestral,debito,nao_informado,124.78867026135786,1,05/01/1967
loja_fisica,mercearia,centro_oeste,marca_17,influencer_104,semanal,credito,masculino,104.1273941581527,4,22/09/1963
loja_fisica,limpeza,centro_oeste,marca_54,influencer_060,trimestral,pix,nao_informado,140.17511341343675,2,07/01/1981
parceiros,bebidas,sul,marca_33,influencer_063,semanal,boleto,nao_informado,140.07380700860426,1,06/04/1957
loja_fisica,bebidas,sudeste,marca_21,influencer_086,quinzenal,carteira_digital,masculino,152.75666399578358,5,12/06/1991
whatsapp,limpeza,sul,marca_02,influencer_069,bimestral,pix,feminino,145.5842606014189,1,19/03/1998
parceiros,higiene,nordeste,marca_06,influencer_008,quinzenal,credito,nao_informado,200.00172206464103,3,13/09/1998
app,laticinios,sudeste,marca_08,influencer_096,trimestral,carteira_digital,feminino,162.10518958546268,3,17/08/1970
whatsapp,mercearia,norte,marca_21,influencer_110,semanal,pix,outro,111.70992438341624,3,11/08/1960
ecommerce,higiene,centro_oeste,marca_36,influencer_006,mensal,debito,masculino,138.12286015303653,6,12/04/1982
app,mercearia,nordeste,marca_18,influencer_014,mensal,carteira_digital,outro,176.50792456640062,6,17/01/1994
whatsapp,laticinios,sul,marca_03,influencer_084,trimestral,credito,outro,82.00107243937876,2,19/01/2002
ecommerce,higiene,sul,marca_15,influencer_072,semanal,credito,feminino,200.56967172464684,3,21/04/1961
ecommerce,limpeza,sudeste,marca_24,influencer_045,quinzenal,pix,nao_informado,89.01442265000718,3,24/03/1956
whatsapp,laticinios,sul,marca_59,influencer_064,bimestral,boleto,masculino,156.01101572951097,2,10/08/1962
loja_fisica,snacks,nordeste,marca_23,influencer_084,trimestral,pix,masculino,120.26401760897963,4,04/11/1984
loja_fisica,laticinios,nordeste,marca_05,influencer_060,trimestral,carteira_digital,nao_informado,117.96270400342237,5,03/04/1963
loja_fisica,bebidas,nordeste,marca_34,influencer_016,trimestral,debito,masculino,67.88348505408699,3,19/08/2005
whatsapp,limpeza,centro_oeste,marca_55,influencer_010,mensal,carteira_digital,outro,156.30000379682605,3,13/12/1973
whatsapp,mercearia,sudeste,marca_47,influencer_052,mensal,credito,nao_informado,68.4656725957731,6,12/06/1997
whatsapp,limpeza,sudeste,marca_50,influencer_110,trimestral,credito,masculino,62.28919068553122,2,21/03/1972
whatsapp,higiene,sudeste,marca_55,influencer_066,trimestral,credito,feminino,166.38812073626303,1,19/06/1966
parceiros,limpeza,sudeste,marca_38,influencer_042,bimestral,credito,outro,191.58422383172316,1,26/01/1959
parceiros,bebidas,nordeste,marca_59,influencer_109,trimestral,pix,masculino,93.31016935076028,7,25/12/1965
loja_fisica,snacks,norte,marca_01,influencer_046,trimestral,carteira_digital,nao_informado,160.12436894620942,7,21/11/1994
loja_fisica,snacks,centro_oeste,marca_50,influencer_060,semanal,carteira_digital,masculino,151.86105413590712,7,19/01/1995
whatsapp,limpeza,norte,marca_51,influencer_013,quinzenal,boleto,outro,116.33925219554085,3,26/04/1990
parceiros,higiene,sul,marca_54,influencer_088,trimestral,credito,feminino,173.43267526416898,11,05/02/1959
parceiros,snacks,sudeste,marca_28,influencer_083,mensal,carteira_digital,feminino,113.45511278893744,5,27/11/1971
whatsapp,laticinios,sul,marca_47,influencer_095,semanal,debito,nao_informado,140.701365812761,3,12/11/1986
whatsapp,higiene,sul,marca_11,influencer_038,mensal,boleto,feminino,69.84920466629364,9,07/05/2004
parceiros,higiene,centro_oeste,marca_36,influencer_052,bimestral,boleto,nao_informado,71.55881479395711,5,16/07/1967
parceiros,higiene,nordeste,marca_21,influencer_019,trimestral,credito,masculino,166.7617985915512,7,26/08/1964
ecommerce,bebidas,sudeste,marca_35,influencer_115,trimestral,pix,masculino,142.04820846293646,6,04/12/1999
loja_fisica,mercearia,sul,marca_40,influencer_010,semanal,carteira_digital,masculino,114.30172496248323,4,05/10/1979
parceiros,higiene,sudeste,marca_20,influencer_077,mensal,debito,nao_informado,196.313808038579,3,19/09/1975
loja_fisica,bebidas,centro_oeste,marca_12,influencer_084,semanal,boleto,outro,195.8926268732829,5,19/06/1975
ecommerce,laticinios,sudeste,marca_19,influencer_018,trimestral,carteira_digital,masculino,137.56671999040535,4,20/09/1976
app,mercearia,sudeste,marca_39,influencer_043,semanal,debito,outro,61.77379527067149,5,26/08/1980
loja_fisica,mercearia,sudeste,marca_40,influencer_004,bimestral,debito,outro,115.53604047998657,3,22/07/1997
loja_fisica,laticinios,centro_oeste,marca_44,influencer_066,mensal,pix,masculino,86.69672680016932,3,23/03/1991
ecommerce,laticinios,nordeste,marca_07,influencer_119,bimestral,boleto,masculino,123.58054363251838,5,04/01/1959
ecommerce,snacks,norte,marca_49,influencer_051,mensal,pix,feminino,82.54811333689864,5,10/07/1962
whatsapp,limpeza,sul,marca_41,influencer_118,bimestral,pix,masculino,72.1509630229358,3,20/11/1986
parceiros,limpeza,sudeste,marca_01,influencer_014,bimestral,credito,nao_informado,29.49547025097789,4,23/12/1999
whatsapp,snacks,centro_oeste,marca_19,influencer_046,semanal,carteira_digital,feminino,126.6902925400388,4,11/07/2006
whatsapp,snacks,sudeste,marca_27,influencer_108,quinzenal,carteira_digital,feminino,28.049475328836294,6,17/12/2002
ecommerce,bebidas,sudeste,marca_21,influencer_105,mensal,pix,nao_informado,107.1903736499557,2,06/01/1989
app,limpeza,nordeste,marca_06,influencer_038,quinzenal,carteira_digital,masculino,147.77587893057176,4,25/10/1967
loja_fisica,mercearia,sudeste,marca_12,influencer_081,bimestral,boleto,outro,91.11617251183763,3,15/03/1959
loja_fisica,mercearia,sudeste,marca_01,influencer_106,quinzenal,carteira_digital,nao_informado,76.60685948002114,4,03/05/1994
loja_fisica,snacks,norte,marca_05,influencer_091,trimestral,credito,feminino,117.28612169765188,2,17/05/2003
whatsapp,snacks,nordeste,marca_15,influencer_075,semanal,credito,nao_informado,86.85577886097798,2,08/03/1976
parceiros,higiene,sul,marca_49,influencer_018,bimestral,carteira_digital,masculino,127.42631691969483,4,13/04/1961
loja_fisica,limpeza,sul,marca_31,influencer_008,semanal,debito,outro,78.68680537952919,4,10/07/1993
parceiros,laticinios,norte,marca_25,influencer_073,mensal,debito,feminino,115.82024295267902,4,24/01/1974
loja_fisica,laticinios,sudeste,marca_39,influencer_059,quinzenal,boleto,outro,106.14317112640161,3,24/03/1988
whatsapp,laticinios,sudeste,marca_32,influencer_028,bimestral,boleto,outro,119.53913537953616,7,05/04/1964
parceiros,laticinios,nordeste,marca_07,influencer_034,semanal,debito,nao_informado,185.4060637606874,6,10/02/1973
ecommerce,laticinios,nordeste,marca_13,influencer_046,bimestral,debito,nao_informado,127.9924349966864,5,12/11/1993
ecommerce,higiene,centro_oeste,marca_13,influencer_059,mensal,debito,nao_informado,140.17776489036106,5,24/06/2000
whatsapp,bebidas,sul,marca_35,influencer_046,trimestral,credito,masculino,95.00827664605409,2,08/08/1969
ecommerce,bebidas,sudeste,marca_27,influencer_046,bimestral,credito,outro,128.93025675573384,3,20/07/1997
loja_fisica,higiene,nordeste,marca_23,influencer_013,mensal,pix,feminino,109.00786239168266,3,02/04/1968
loja_fisica,snacks,norte,marca_33,influencer_103,trimestral,boleto,outro,121.18624162833429,4,27/04/1994
app,bebidas,sudeste,marca_58,influencer_073,semanal,debito,nao_informado,145.95782283462177,5,10/02/1976
app,laticinios,nordeste,marca_18,influencer_017,bimestral,debito,masculino,99.99064639012269,4,08/10/1992
whatsapp,bebidas,sudeste,marca_31,influencer_050,quinzenal,boleto,feminino,104.07818255966431,3,21/10/1970
ecommerce,laticinios,centro_oeste,marca_28,influencer_049,bimestral,credito,masculino,100.54341322872472,4,18/08/1959
app,mercearia,centro_oeste,marca_42,influencer_071,semanal,debito,masculino,99.7712142637208,2,15/09/1996
whatsapp,limpeza,nordeste,marca_43,influencer_072,quinzenal,credito,nao_informado,126.92940922294459,4,27/10/1955
whatsapp,limpeza,centro_oeste,marca_43,influencer_077,bimestral,boleto,masculino,105.44072298709509,5,12/01/1982
parceiros,snacks,centro_oeste,marca_11,influencer_083,mensal,credito,outro,179.91825454314298,7,16/09/1958
ecommerce,limpeza,sudeste,marca_26,influencer_012,semanal,pix,feminino,227.16650844776666,5,14/12/1984
loja_fisica,bebidas,sul,marca_48,influencer_036,mensal,pix,feminino,97.28230859250749,7,05/10/1960
app,laticinios,nordeste,marca_22,influencer_001,trimestral,carteira_digital,feminino,131.76011432818777,4,09/04/1963
parceiros,snacks,sudeste,marca_59,influencer_054,semanal,boleto,masculino,161.5203030422095,2,17/08/2007
loja_fisica,snacks,sul,marca_21,influencer_051,quinzenal,carteira_digital,nao_informado,109.37003751904086,1,04/04/2003
ecommerce,mercearia,sul,marca_29,influencer_088,trimestral,boleto,feminino,80.22435442777068,2,21/02/1978
parceiros,limpeza,centro_oeste,marca_28,influencer_019,trimestral,debito,nao_informado,189.52693245859032,3,17/04/1973
loja_fisica,higiene,sul,marca_25,influencer_075,semanal,credito,nao_informado,147.4462917522081,1,19/05/1991
app,limpeza,norte,marca_50,influencer_036,mensal,credito,masculino,132.7476181189223,4,23/12/1975
whatsapp,bebidas,sul,marca_09,influencer_045,semanal,debito,feminino,178.02089600523752,5,14/06/1963
whatsapp,limpeza,sudeste,marca_33,influencer_086,trimestral,credito,feminino,150.8093269529494,5,23/11/1967
parceiros,snacks,centro_oeste,marca_37,influencer_008,mensal,debito,masculino,118.08259856157615,5,21/12/1987
whatsapp,snacks,sudeste,marca_51,influencer_040,quinzenal,boleto,outro,80.93476536985906,9,07/08/2005
parceiros,bebidas,sudeste,marca_36,influencer_046,quinzenal,boleto,masculino,100.26673022302738,4,08/06/1989
